NGI ID	User ID	Mreads	≥Q30
P26207_372	974	32.87	90.24
P26207_373	602	33.02	88.83
P26207_374	954	28.73	89.47
P26207_375	1367	24.65	88.42
P26207_376	836	29.08	89.85
P26207_377	963	25.36	88.49
P26207_378	710	20.24	89.57
P26207_379	417	23.72	88.18
P26207_380	640	36.80	89.61
P26207_381	904	20.65	88.27
P26207_382	1103	28.66	87.44
P26207_383	980	24.59	88.52
P26207_384	1360	25.92	89.01
P26207_385	633	26.11	89.46
P26207_386	408	23.39	88.31
P26207_387	1277	26.67	88.44
P26207_388	1378	22.75	89.38
P26207_389	1004	25.11	89.37
P26207_390	1404	21.78	87.87
P26207_391	1269	32.18	89.54
P26207_392	1398	24.31	89.19
P26207_393	462	24.51	89.11
P26207_394	IT6	15.61	87.26
P26207_401	801	26.95	90.44
P26207_402	1384	33.33	89.02
P26207_403	404	39.09	90.88
P26207_404	975	24.17	89.55
P26207_405	397L	26.07	91.14
P26207_406	1364	25.25	90.66
P26207_407	1153	24.95	90.95
P26207_408	1375	32.11	90.78
P26207_409	1100	28.36	89.89
P26207_410	493	32.04	89.14
P26207_411	502	38.43	90.50
P26207_412	1427	34.23	91.65
P26207_413	491	30.92	90.81
P26207_414	759	27.37	90.82
P26207_415	1425	39.09	91.21
P26207_416	1482	32.72	89.56
P26207_417	666	38.50	90.72
P26207_418	1381	32.37	90.75
P26207_419	515	35.98	90.13
P26207_420	516	41.56	91.14
P26207_421	1361	26.17	89.63
P26207_422	511	39.47	90.68
P26207_423	442	34.80	89.80
P26207_424	803	40.61	90.83
P26207_425	1271	38.34	90.40
P26207_426	1456	45.35	90.53
P26207_427	642	32.32	90.85
P26207_428	1372	42.44	90.63
P26207_429	1351	32.52	91.04
P26207_430	593	34.97	90.97
P26207_431	796	41.32	91.09
P26207_432	1386	45.55	89.72
P26207_433	971	41.74	91.18
P26207_434	953	25.83	90.58
P26207_435	947	38.10	91.08
P26207_436	865	47.43	91.43
P26207_437	1171	38.99	91.03
P26207_438	513	36.59	91.15
P26207_439	1027	35.55	90.62
P26207_440	1365	41.57	90.24
P26207_441	1106	30.68	90.26
P26207_442	1156	22.72	90.82
P26207_443	1180	30.21	91.04
P26207_444	1454	45.69	91.21
P26207_445	1007	32.41	90.15
P26207_446	959	36.80	90.37
P26207_447	1478	26.21	90.02
P26207_448	1112	35.20	91.11
P26207_449	1116	29.80	90.61
P26207_450	1410	35.70	88.96
P26207_451	1166	45.57	90.76
P26207_452	863	37.50	90.96
P26207_453	520	45.06	91.37
P26207_454	510	38.75	89.37
P26207_455	1025	41.45	91.53
P26207_456	1347	20.18	89.89
P26207_457	1373	37.39	90.32
